lambda,n,mean_best_val_acc_percent,mean_test_acc_percent,std_test_acc_percent,mean_test_firing_rate_output,mean_test_entropy_output,mean_test_no_output_spike_fraction
0.0,3,84.63541666666667,81.640625,2.34375,0.014557291831200322,0.07557052125533421,0.0
0.0001,3,84.765625,82.421875,1.171875,0.014359375384325782,0.07481709246834119,0.0
0.0003,3,84.89583333333333,82.29166666666667,1.578692142315383,0.014121093942473332,0.07390907841424148,0.0
0.001,3,85.15625,81.11979166666667,0.5966895436140417,0.015220052485043803,0.07844890095293522,0.0
0.003,3,84.375,82.29166666666667,2.386758174456167,0.013522135947520534,0.07123982533812523,0.0
0.01,3,85.15625,80.72916666666667,1.2556836928376243,0.013795573574801287,0.0722909327596426,0.0
