setting,setting_label,n,mean_test_acc_percent,std_test_acc_percent,min_test_acc_percent,max_test_acc_percent,seed_test_acc_percent
lif_mlp_mean_noim,Non-spiking mean membrane,5,75.98056538366177,1.7289454954789667,73.36572442374887,77.8268551236749,77.2085;77.8269;73.3657;75.9717;75.5300
spiking_count,Spiking output count,5,59.38162545643931,2.392427740086794,56.05123675964746,61.572438162544174,56.0512;57.9064;61.5724;61.5283;59.8498
spiking_count_im,Spiking output count + IM,5,57.73851590737858,3.01348771943446,53.75441696113074,61.35159011653792,58.8339;53.7544;55.6537;59.0989;61.3516
